
=== Flow conditions ===
-- ue [m/s] = 869.1
-- pe [Pa] = 697.066
-- Te [K] = 55.2
-- Tw [K] = 97.5
-- Me = 5.83573
-- Taw [K] = 392.18
-- rhoe [kg/m^3] = 0.044
-- rhow [kg/m^3] = 0.0249108
-- delta [m] = 0.00124
-- Ny = 1000
-- mu_w [m^2/s] = 6.73838e-06
-- mu_e [m^2/s] = 3.60372e-06

=== Boundary layer values ===
-- Left:   delta = 0.00121917	 u_tau = 34.5228	 Re_tau = 155.598	 Cf = 0.00178664	 x = 0.050107
-- Center: delta = 0.00124	 u_tau = 34.4741	 Re_tau = 158.033	 Cf = 0.00178161	 x = 0.051107
-- Right:  delta = 0.00126077	 u_tau = 34.4265	 Re_tau = 160.457	 Cf = 0.00177668	 x = 0.052107

=== Left state ===
-- PI = 2.24693
-- T[1] = 97.5	T[Ny] = 55.2
-- rho[1] = 0.0249108	rho[Ny] = 0.044

=== Center state ===
-- PI = 2.24312
-- T[1] = 97.5	T[Ny] = 55.2
-- rho[1] = 0.0249108	rho[Ny] = 0.044

=== Right state ===
-- PI = 2.23942
-- T[1] = 97.5	T[Ny] = 55.2
-- rho[1] = 0.0249108	rho[Ny] = 0.044

-- Beginning interpolation
7.01602	0.000133971
7.0548	0.000135574
7.09373	0.000137192
7.13282	0.000138825
7.17208	0.000140474
7.21148	0.000142138
7.25105	0.000143818
7.29077	0.000145514
7.33065	0.000147225
7.37068	0.000148953
7.41086	0.000150697
7.4512	0.000152457
7.49169	0.000154234
7.53233	0.000156027
7.57312	0.000157838
7.61406	0.000159665
7.65514	0.00016151
7.69637	0.000163372
7.73775	0.000165251
7.77924	0.000167149
7.8207	0.000169064
7.86229	0.000170997
7.904	0.000172948
7.94583	0.000174917
7.98779	0.000176905
8.02988	0.000178911
8.07208	0.000180936
8.11441	0.00018298
8.15699	0.000185044
8.19987	0.000187126
8.24292	0.000189228
8.28609	0.00019135
8.32938	0.000193492
8.37279	0.000195654
8.41632	0.000197836
8.45996	0.000200038
8.50348	0.000202261
8.54694	0.000204505
8.59051	0.000206769
8.63419	0.000209055
8.67817	0.000211362
8.7225	0.00021369
8.76694	0.00021604
8.81147	0.000218412
8.85611	0.000220806
8.90084	0.000223222
8.94552	0.000225661
8.98996	0.000228122
9.0345	0.000230606
9.07933	0.000233113
9.1245	0.000235643
9.16978	0.000238196
9.21515	0.000240773
9.26059	0.000243374
9.30612	0.000245999
9.35136	0.000248648
9.39655	0.000251321
9.44203	0.000254019
9.48784	0.000256742
9.53374	0.000259489
9.57971	0.000262262
9.62574	0.00026506
9.67183	0.000267884
9.71753	0.000270733
9.76341	0.000273609
9.80959	0.00027651
9.85594	0.000279438
9.90234	0.000282393
9.94881	0.000285375
9.99532	0.000288383
10.0416	0.000291419
10.0879	0.000294482
10.1345	0.000297573
10.1812	0.000300692
10.228	0.000303839
10.2749	0.000307015
10.3218	0.000310219
10.3686	0.000313452
10.4152	0.000316713
10.4622	0.000320004
10.5093	0.000323325
10.5565	0.000326675
10.6037	0.000330056
10.651	0.000333466
10.6983	0.000336907
10.7454	0.000340379
10.7927	0.000343881
10.8402	0.000347415
10.8877	0.00035098
10.9354	0.000354577
10.9831	0.000358206
11.0308	0.000361867
11.0785	0.00036556
11.1262	0.000369286
11.1741	0.000373045
11.2222	0.000376838
11.2703	0.000380663
11.3184	0.000384523
11.3667	0.000388416
11.415	0.000392344
11.4635	0.000396307
11.5118	0.000400304
11.5603	0.000404336
11.609	0.000408404
11.6578	0.000412508
11.7067	0.000416647
11.7557	0.000420823
11.8048	0.000425036
11.854	0.000429286
11.9033	0.000433572
11.9527	0.000437897
12.0022	0.000442259
12.0518	0.000446659
12.1016	0.000451098
12.1516	0.000455576
12.2017	0.000460093
12.2519	0.000464649
12.3022	0.000469245
12.3527	0.000473882
12.4034	0.000478559
12.4542	0.000483277
12.5051	0.000488036
12.5562	0.000492837
12.6075	0.000497679
12.659	0.000502564
12.7106	0.000507492
12.7624	0.000512463
12.8144	0.000517477
12.8666	0.000522536
12.919	0.000527638
12.9715	0.000532785
13.0243	0.000537977
13.0773	0.000543215
13.1305	0.000548499
13.1839	0.000553828
13.2376	0.000559205
13.2914	0.000564629
13.3455	0.0005701
13.3998	0.00057562
13.4544	0.000581188
13.5092	0.000586804
13.5643	0.000592471
13.6196	0.000598187
13.6751	0.000603953
13.7309	0.00060977
13.787	0.000615639
13.8434	0.000621559
13.9	0.000627532
13.9569	0.000633557
14.0141	0.000639636
14.0715	0.000645768
14.1293	0.000651955
14.1874	0.000658196
14.2457	0.000664493
14.3044	0.000670846
14.3634	0.000677255
14.4227	0.000683721
14.4823	0.000690244
14.5422	0.000696826
14.6025	0.000703467
14.6631	0.000710166
14.724	0.000716926
14.7853	0.000723746
14.8469	0.000730627
14.9089	0.000737569
14.9712	0.000744574
